Business Name,Zip Code,License Number,License Type,City
PERNOD RICARD USA LLC,105772134,133289,LS,PURCHASE
PERSIMMON RIDGE VINEYARD LLC,630121792,195656,DOMW,BARNHART
PETIT HAMEAU LLC,945591998,247773,22S,NAPA
PHILLIPS FARMS LLC,952429529,165457,22S,LODI
PHUSION PROJECTS LLC,546014471,229273,LS,LA CROSSE
PINE RIDGE WINERY LLC,945589417,66330,22S,NAPA
PINEY RIVER BREWING CO LLC,654449002,194954,MICB,BUCYRUS
PINK DUCK CORPORATION,662212290,242352,LS,OVERLAND PARK
PINNACLE IMPORTS LLC,631393025,109462,22S,ST. LOUIS
PIRTLE WINERY LLC,640981230,207348,22MS,WESTON
PITEC CORPORATION,364016847,233026,LS,EVERGREEN
PL BRANDS INC.,600741156,211621,LS,PALATINE
PLATA WINE PARTNERS LLC,945587565,221788,22S,NAPA
PLUME RIDGE IRREVOCABLE TRUST,917115766,186977,22S,CLAREMONT
POPCORN DESIGN LLC,954483613,168838,LS,HEALDSBURG
PORT WASHINGTON IMPORTS LLC,110500000,239174,22S,PORT WASHINGTON
POST WINERY INC.,728219001,120785,22S,ALTUS
PRAIRIE CREEK BEVERAGES LLC,752202936,246635,LS,DALLAS
PRECEPT BRANDS LLC,981023662,139533,LS,SEATTLE
PREMIUM PORT WINES INC.,941034842,81506,22S,SAN FRANCISCO
PRESTIGE WINE IMPORTS CORPORATION,100118945,80909,22S,NEW YORK
PRICE WINERY LLC,945492415,230132,22S,LAFAYETTE
PRICHARD'S DISTILLERY INC.,373480000,238641,LS,KELSO
PRISON BREWS LLC,651014002,172481,MICB,JEFFERSON CITY
PROLETARIAT WINE COMPANY LLC,99362,243012,22S,WALLA WALLA
PROXIMO SPIRITS INC.,073023066,171204,LS,JERSEY CITY
"PUBLIC HOUSE BREWING COMPANY LLC, THE",654020000,226475,22MS,ST. JAMES
"PUBLIC HOUSE BREWING COMPANY, LLC, THE",654013111,226448,22MS,ROLLA
"PURPLE WINE COMPANY, LLC",954449373,131144,22S,GRATON
QUADY SOUTH WINERY LLC,936379087,231918,22S,MADERA
QUINTESSENTIAL LLC,945590000,241791,LS,NAPA
R.H. KEENAN COMPANY,945749677,107437,22S,ST. HELENA
RACINE WINE CO.,971488422,232442,22S,YAMHILL
"RACKHOUSE WEST WINERY, LLC",633040000,227372,DOMW,COTTLEVILLE
RAHR & SONS BREWING LP,761043355,239548,22S,FORT WORTH
RAINIER WINE LLC,945587590,171787,22S,NAPA
"RAMEY WINE CELLARS, INC.",954484410,144427,22S,HEALDSBURG
"RANDOLPH, LANCE CHARLES",954449373,141997,22S,GRATON
RANSOM SPIRITS LLC,973789725,231617,LS,SHERIDAN
RASA VINEYARDS LLC,993627760,234800,22S,WALLA WALLA
RB WINE ASSOCIATES LLC,954480000,205652,22S,HEALDSBURG
RBZ VINEYARDS LLC,934018208,203855,22S,SAN LUIS OBISPO
RED BARN FOOD & WINE LLC,641021032,162981,22MS,KANSAS CITY
RED BARN FOOD & WINE LLC,64102,176420,22MS,KANSAS CITY
RED FOX WINERY & VINEYARDS LLC,647888149,216308,22MS,URICH
RED MARE WINES LLC,945620000,203180,22S,OAKVILLE
RED MOOSE VINEYARD LLC,655605431,218522,22MS,SALEM
REDEMPTION SPIRITS LLC,194051066,200115,LS,BRIDGEPORT
REDHAWK WINERY INC.,973049704,205058,22S,SALEM
REED ROGER V. & REED DARLENE A.,640680000,237766,DOMW,LIBERTY
REEVE WINES LLC,954760000,238639,22S,SONOMA
REGAL BRAU BREWING COMPANY LLC,535662055,216817,22S,MONROE
REGAL WINE IMPORTS INC.,080574240,193042,22S,MOORESTOWN
REGUSCI WINERY INC.,945589411,180409,22S,NAPA
REMY COINTREAU USA,101040051,15355,LS,NEW YORK
RENTERIA WINES LLC,945159796,193735,22S,CALISTOGA
RESTLESS SPIRITS DISTILLING COMPANY LLC,641160000,234009,LMS,NORTH KANSAS CITY
REVELRY VINTNERS LLC,993629562,200785,22S,WALLA WALLA
RHINELANDER BREWING COMPANY LLC,535662055,196762,22S,MONROE
RIDGE VINEYARDS INC.,950145435,62647,22S,CUPERTINO
RIVER BOTTOMS BREWING COMPANY LLC,646331203,243936,MICB,CARROLLTON
RIVER RIDGE WINERY LLC,63780,244115,DOMW,SCOTT CITY
RO SALES AND DISTRIBUTION SERVICES INC.,95476,202846,22S,SONOMA
"ROBERT FOLEY, LLC",945089774,193478,22S,ANGWIN
ROBERT MONDAVI INVESTMENTS & B PR R,945620000,126026,22S,OAKVILLE
ROBLLER VINEYARD INC.,630682102,209878,DOMW,NEW HAVEN
ROCHE MERE WINE SELECTIONS LLC,67206,243064,22S,WICHITA
ROCK & RUN BREWERY LLC,640680000,217206,MICB,LIBERTY
ROCK & RUN BREWERY LLC,64060,245386,MICB,KEARNEY
ROCK TOWN DISTILLERY INC.,722022712,243154,LS,LITTLE ROCK
ROCK WALL WINE COMPANY INC.,945017554,246987,22S,ALAMEDA
ROCKIN'A DISTILLERY LLC,64739,245141,LMS,CREIGHTON
ROCKING C DISTILLERY LLC,646730000,232220,LMS,PRINCETON
RODINIA LLC,601621457,196170,22S,HILLSIDE
ROESSLER WINE CELLAR LLC,954762817,202017,22S,SONOMA
RONEY CONCESSIONAIRE LLC,954038258,185395,22S,SANTA ROSA
ROOTS RUN DEEP LLC,945587583,177761,22S,NAPA
ROSE IMPORTING & DISTRIBUTING LLC,604452205,110837,22S,CRESTWOOD
ROUND HILL CELLARS,945749542,36276,22S,ST HELENA
"ROW ELEVEN WINE CO., LLC",934610000,153422,22S,SHANDON
ROYAL WINE CORPORATION,070025024,33057,LS,BAYONNE
ROYALTY IMPORTERS LLC,63131,245419,LS,ST. LOUIS
RTV WINERY LLC,934540000,232653,22S,SANTA MARIA
RUBIN WINES LLC,954722158,208527,22S,SEBASTOPOL
RUSSIAN STANDARD VODKA (USA) INC.,100162901,220077,LS,NEW YORK
S & H INDEPENDENT PREMIUM BRANDS EAST,802020000,249740,22S,DENVER
S & H INDEPENDENT PREMIUM BRANDS LLC,802021075,212697,22S,DENVER
S L J GROUP INC.,604339520,62619,22S,JOLIET
SAINT NICHOLAS BREWING CO.,628321515,239622,22S,DU QUOIN
SAINTE GENEVIEVE WINERY LLC,636708264,189673,22MS,STE. GENEVIEVE
SAINTE GENEVIEVE WINERY LLC,636701609,189676,DOMW,STE. GENEVIEVE
SALOON SPIRITS LLC,402996339,242353,LS,LOUISVILLE
SAN ANTONIO WINERY INC.,900312514,118410,22S,LOS ANGELES
"SAN FRANCISCO WINE EXCHANGE INC., THE",94939,243318,22S,LARKSPUR
SAN JOAQUIN WINE COMPANY INC.,936378608,235535,22S,MADERA
SAND CREEK VINEYARD AND WINERY LLC,636407345,216242,DOMW,FARMINGTON
SANGLIER SELECTIONS LLC,603023135,221526,LS,OAK PARK
SANS LIEGE INC.,934492532,219504,22S,PISMO BEACH
SANS WINE & SPIRITS COMPANY,927825104,200620,LS,TUSTIN
SANTA FE BREWING COMPANY,875084493,210614,22S,SANTA FE
SANTA MARGHERITA USA INC.,331391400,226947,LS,MIAMI BEACH
SAPPORO U.S.A. INC.,100366101,197735,22S,NEW YORK
SARMENTO'S IMPORTS & EXPORTS INC.,027204724,227512,LS,FALL RIVER
SAUGATUCK BREWING COMPANY INC.,494065195,236137,22S,DOUGLAS
SAZERAC COMPANY INC.,700028177,13924,LS,METAIRIE
SAZERAC NORTH AMERICA INC.,402233897,182155,LS,LOUISVILLE
SBRAGIA FAMILY VINEYARDS LLC,954419686,219969,22S,GEYSERVILLE
SCENIC ROOT WINEGROWERS LLC,94558,244168,22S,NAPA
"SCHAEFER, CHRISTIAN PETER",910304011,208526,22S,SOUTH PASADENA
SCHEID VINEYARDS CALIFORNIA INC.,939279605,214331,22S,GREENFIELD
"SCHMITT SOHNE, INC.",211083003,18949,22S,MILLERSVILLE
SCHOENWEID FARM LLC,633571792,228921,LMS,MARTHASVILLE
SCOPERTA IMPORTING CO INC.,441181732,240705,22S,CLEVELAND HEIGHTS
SEATTLE CIDER COMPANY LLC,981342360,235306,22S,SEATTLE
"SELECTIVE WINE ESTATES, INC.",079363301,158578,22S,EAST HANOVER
SERGE IMPORT LLC,189662934,227655,LS,HOLLAND
SERRALLES USA LLC,069023550,207460,LS,STAMFORD
SEVEN SPRINGS WINERY LLC,650523507,204277,22MS,LINN CREEK
SHAFER VINEYARDS INC.,945589748,62567,22S,NAPA
SHAND IMPORT LLC,910305218,226817,LS,SOUTH PASADENA
SHANNON RIDGE INC.,954232037,176224,22S,CLEARLAKE OAKS
"SHAPLEY, JEREMY",722275836,183954,22S,LITTLE ROCK
SHAW-ROSS INTERNATIONAL IMPORTERS LLC,330276612,200654,LS,MIRAMAR
SHAWNEE BLUFF DISTILLERIES LLC,650265454,234103,LMS,ELDON
SHAWNEE BLUFF WINERY LLC,650490000,233401,22MS,LAKE OZARK
SHED HORN CELLARS LLC,954610000,234523,22S,MIDDLETOWN
SHELTON BROTHERS INC.,010079399,218122,22S,BELCHERTOWN
"SHERRING BREWING COMPANY LLC, THE",630432503,231987,22MS,MARYLAND HEIGHTS
SHMALTZ BREWING COMPANY LLC,120651254,249528,22S,CLIFTON PARK
SHOW-ME BREWING LLC,658041425,238768,MICB,SPRINGFIELD
SIERRA NEVADA BREWING COMPANY INC.,959286722,69613,22S,CHICO
SIGNATURE SELECTIONS LLC,197023352,242952,22S,NEWARK
"SIGNORELLO, RAYMOND",945581100,201194,22S,NAPA
"SILVERADO VINEYARDS, THE",945589415,220834,22S,NAPA
SINEANN LLC,971326954,192210,22S,NEWBERG
SINGHA NORTH AMERICA INC.,940651422,188021,5S,REDWOOD CITY
SKINNER VINEYARDS LLC,956849583,240883,22S,FAIR PLAY
SLEIGHT OF HAND CELLARS LLC,993627134,211797,LS,WALLA WALLA
SLO DOWN WINES LLC,945586214,222605,22S,NAPA
SMART DISTRIBUTORS LLC MIDWEST,631226622,228151,LS,ST. LOUIS
SMITH-ANDERSON ENTERPRISES INC.,945592546,117864,22S,NAPA
SMOKE BREWING COMPANY LLC,64063,243968,MICB,LEE'S SUMMIT
SMT ACQUISITIONS LLC,334310000,239853,LS,BOCA RATON
SNI VALLEY VINEYARDS & WINERY LLC,640677143,195906,22MS,LEXINGTON
SOCIAL ENJOYMENTS LLC,563201624,246988,22S,COLD SPRING
SOKOL BLOSSER LTD.,971147232,228397,22S,DUNDEE
SOLSTARS INC.,100228511,235468,22S,NEW YORK
"SORTING TABLE, LLC, THE",945589739,162489,22S,NAPA
SOSTENER LLC,939609615,232215,22S,SOLEDAD
SOURCE CODE BEVERAGE LLC,605230000,240345,22S,OAK BROOK
"SOUTHBOUND BREWING CO., LLC",314152182,248033,22S,SAVANNAH
SOUTHERN GLAZER'S WINE & SPIRITS OF MO.,633014367,240755,LS,ST. CHARLES
SOUTHERN SISTERS SPIRITS LLC,629015403,228853,LS,CARBONDALE
"SOUTHERN STARZ, INC.",926491129,137396,22S,HUNTINGTON BEACH
SOUTHERN TIER BREWING COMPANY LLC,147509779,226592,22S,LAKEWOOD
SOUTHERN WINE GROUP LLC,945030000,193889,22S,AMERICAN CANYON
"SOVEREIGN BRANDS, LLC",100125349,156984,LS,NEW YORK
SPANISH WINE IMPORTERS LLC,201090000,238514,22S,MANASSAS
SPARKLING OREGON LLC,971284201,248293,22S,MCMINNVILLE
SPB LLC,544815232,182830,22S,STEVENS POINT
SPEAKEASY SPIRITS LLC,372092286,219116,LS,NASHVILLE
SPIRIT KNOB WINERY INC.,623762027,186435,LS,URSA
SPLINTER GROUP NAPA LLC,945580000,238264,LS,NAPA
SPOOKY BEVERAGES LLC,605270000,241905,22S,BURR RIDGE
SPOTTSWOODE WINERY INC.,945742354,211126,22S,ST. HELENA
SQUARE ONE ORGANIC SPIRITS LLC,949495637,208689,LS,NOVATO
ST. AUBERT HILLS VINEYARD LLC,650662111,195461,DOMW,OWENSVILLE
ST. FRANCOIS VINEYARD LLC,636018226,166036,22MS,PARK HILLS
